iter	Passed	Remaining
0	1	105
1	2	121
2	3	129
3	5	121
4	6	117
5	7	113
6	8	110
7	9	107
8	10	106
9	11	104
10	12	102
11	13	100
12	14	98
13	15	97
14	17	97
15	18	97
16	19	97
17	21	97
18	22	95
19	23	94
20	24	92
21	25	91
22	26	89
23	27	88
24	28	86
25	29	85
26	31	84
27	32	83
28	33	82
29	34	81
30	36	80
31	37	78
32	38	77
33	39	76
34	40	74
35	41	73
36	42	72
37	43	70
38	44	69
39	45	68
40	46	66
41	47	65
42	48	64
43	49	63
44	50	61
45	51	60
46	52	59
47	53	58
48	55	57
49	56	56
50	57	55
51	58	53
52	59	52
53	60	51
54	61	50
55	62	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	74	38
66	75	36
67	76	35
68	77	34
69	78	33
70	79	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	93	19
83	94	17
84	95	16
85	96	15
86	97	14
87	98	13
88	100	12
89	101	11
90	102	10
91	103	8
92	104	7
93	105	6
94	106	5
95	108	4
96	109	3
97	110	2
98	111	1
99	112	0
