iter	Passed	Remaining
0	147	147264
1	148	74006
2	149	49688
3	150	37468
4	151	30098
5	152	25186
6	152	21670
7	153	19035
8	154	16974
9	154	15343
10	155	13993
11	156	12877
12	157	11920
13	157	11109
14	158	10413
15	159	9811
16	160	9263
17	161	8785
18	161	8360
19	162	7973
20	163	7627
21	164	7309
22	165	7016
23	165	6745
24	166	6505
25	167	6274
26	168	6067
27	169	5871
28	169	5688
29	170	5513
30	171	5351
31	172	5206
32	172	5063
33	173	4935
34	174	4811
35	175	4693
36	176	4581
37	177	4481
38	177	4382
39	178	4289
40	179	4202
41	180	4118
42	181	4035
43	182	3958
44	182	3880
45	183	3813
46	184	3742
47	185	3678
48	186	3616
49	187	3554
50	188	3499
51	188	3443
52	189	3388
53	190	3340
54	191	3295
55	193	3254
56	193	3207
57	194	3160
58	195	3118
59	196	3075
60	197	3034
61	197	2994
62	198	2955
63	199	2919
64	200	2883
65	201	2848
66	202	2818
67	203	2784
68	204	2752
69	204	2721
70	205	2689
71	206	2663
72	207	2634
73	208	2607
74	209	2578
75	209	2552
76	210	2525
77	211	2499
78	212	2473
79	213	2450
80	213	2426
81	214	2404
82	215	2376
83	216	2356
84	216	2335
85	217	2314
86	218	2294
87	219	2276
88	220	2256
89	221	2244
90	223	2227
91	224	2211
92	225	2195
93	226	2179
94	227	2163
95	228	2147
96	229	2132
97	229	2115
98	230	2100
99	231	2084
100	232	2069
101	233	2055
102	234	2040
103	235	2027
104	236	2014
105	237	2004
106	238	1991
107	239	1978
108	240	1964
109	241	1950
110	242	1938
111	242	1925
112	243	1914
113	244	1902
114	245	1890
115	246	1878
116	247	1864
117	247	1852
118	248	1841
119	249	1828
120	250	1817
121	250	1805
122	251	1795
123	252	1787
124	253	1777
125	254	1766
126	255	1754
127	256	1746
128	257	1737
129	258	1728
130	259	1718
131	260	1709
132	260	1700
133	261	1690
134	262	1682
135	263	1673
136	264	1665
137	265	1656
138	266	1648
139	267	1641
140	268	1633
141	268	1624
142	269	1616
143	270	1607
144	271	1600
145	272	1592
146	273	1584
147	273	1577
148	274	1569
149	275	1561
150	276	1554
151	277	1546
152	278	1539
153	278	1531
154	279	1524
155	280	1519
156	281	1513
157	283	1508
158	284	1502
159	285	1496
160	285	1488
161	286	1482
162	287	1476
163	288	1470
164	289	1464
165	290	1458
166	291	1453
167	292	1447
168	293	1441
169	294	1435
170	295	1430
171	295	1424
172	296	1419
173	298	1414
174	299	1409
175	299	1404
176	300	1398
177	301	1393
178	302	1387
179	303	1382
180	304	1377
181	305	1372
182	306	1367
183	307	1362
184	308	1356
185	308	1351
186	310	1348
187	311	1344
188	312	1340
189	313	1337
190	314	1333
191	315	1329
192	317	1327
193	321	1335
194	322	1332
